Date Time, Monitor ID, Location ID, NO2(ppm)
26 Mar 2023 15:27,2,15,0.000
26 Mar 2023 15:28,2,15,0.000
26 Mar 2023 15:29,2,15,0.000
26 Mar 2023 15:30,2,15,0.000
26 Mar 2023 15:31,2,15,0.003
26 Mar 2023 15:32,2,15,0.000
26 Mar 2023 15:33,2,15,0.001
26 Mar 2023 15:34,2,15,0.002
26 Mar 2023 15:35,2,15,0.000
26 Mar 2023 15:36,2,15,0.001
26 Mar 2023 15:37,2,15,0.002
26 Mar 2023 15:38,2,15,0.003
26 Mar 2023 15:39,2,15,0.012
26 Mar 2023 15:40,2,16,0.000
26 Mar 2023 15:41,2,16,0.000
26 Mar 2023 15:42,2,16,0.000
26 Mar 2023 15:43,2,16,0.000
26 Mar 2023 15:44,2,16,0.000
26 Mar 2023 15:45,2,16,0.001
26 Mar 2023 15:46,2,16,0.006
26 Mar 2023 15:47,2,16,0.004
26 Mar 2023 15:48,2,16,0.008
26 Mar 2023 15:49,2,16,0.004
26 Mar 2023 15:50,2,16,0.008
26 Mar 2023 15:51,2,16,0.000
26 Mar 2023 15:52,2,16,0.002
26 Mar 2023 15:53,2,16,0.001
26 Mar 2023 15:54,2,16,0.008
26 Mar 2023 15:55,2,16,0.010
26 Mar 2023 15:56,2,17,0.006
26 Mar 2023 15:57,2,17,0.000
26 Mar 2023 15:58,2,17,0.003
26 Mar 2023 15:59,2,17,0.007
26 Mar 2023 16:00,2,17,0.002
26 Mar 2023 16:01,2,17,0.002
26 Mar 2023 16:02,2,17,0.014
26 Mar 2023 16:03,2,17,0.007
26 Mar 2023 16:04,2,17,0.004
26 Mar 2023 16:05,2,17,0.005
26 Mar 2023 16:06,2,17,0.000
26 Mar 2023 16:07,2,17,0.001
26 Mar 2023 16:08,2,17,0.002
26 Mar 2023 16:09,2,17,0.009
26 Mar 2023 16:10,2,17,0.013
26 Mar 2023 16:11,2,17,0.014
26 Mar 2023 16:12,2,17,0.006
26 Mar 2023 16:13,2,17,0.014
26 Mar 2023 16:14,2,17,0.005
26 Mar 2023 16:15,2,17,0.002
26 Mar 2023 16:16,2,18,0.013
26 Mar 2023 16:17,2,18,0.012
26 Mar 2023 16:18,2,18,0.003
26 Mar 2023 16:19,2,18,0.004
26 Mar 2023 16:20,2,18,0.006
26 Mar 2023 16:21,2,18,0.000
26 Mar 2023 16:22,2,18,0.000
26 Mar 2023 16:23,2,18,0.010
26 Mar 2023 16:24,2,18,0.002
26 Mar 2023 16:25,2,18,0.000
26 Mar 2023 16:26,2,18,0.000
26 Mar 2023 16:27,2,18,0.005
26 Mar 2023 16:28,2,18,0.009
26 Mar 2023 16:29,2,18,0.001
26 Mar 2023 16:30,2,18,0.008
26 Mar 2023 16:31,2,18,0.000
26 Mar 2023 16:32,2,18,0.001
26 Mar 2023 16:33,2,18,0.007
