Date,Time,PM2.5_µg/m³_combustion_particles_organic_compounds_metals_sensor,PM2.5_mg/m³_aeroequal,PM2.5_µg/m³_council,PM10_µg/m³_dust_pollen_mould_spores_sensor,PM10_mg/m³_aeroequal,PM10_µg/m³_council,NO2_ppb_sensor,NO2_ppm_aeroequal,NO2_µg/m³_council,Wind_value_km/h,PM1.0_µg/m³_ultrafine_particles_sensor,PM1.0_µg/m³_atmos_env,PM2.5_µg/m³_atmos_env,PM10_µg/m³_atmos_env,GT_0.3um_in_0.1l_air,GT_0.5um_in_0.1l_air,GT_1.0um_in_0.1l_air,GT_2.5um_in_0.1l_air,GT_5.0um_in_0.1l_air,GT_10um_in_0.1l_air,CO2_in_ppm,Temperature_in_c,Relative_humidity,NO2_µg/m³_sensor,Temp_value_°c,NO_µg/m³_council,NOx_as_NO2_µg/m³_council,NV10_µg/m³_council,NV2.5_µg/m³_council,V10_µg/m³_council,V2.5_µg/m³_council
2024-08-18,12:00:00,5.176470588235294,0.0009000000000000001,5.8,8.117647058823529,0.00475,18.9,-3.2245849785714285,0.0,14.60672,0.05555555555555555,3.2941176470588234,3.2941176470588234,5.176470588235294,8.117647058823529,718.2352941176471,209.1764705882353,44.411764705882355,4.0,4.0,2.3529411764705883,509.134705882353,24.749411764705883,49.801764705882356,-6.167018864285715,23.566666666666666,11.28183,31.90528,12.8,7.4,6.1,-1.6
2024-08-18,13:00:00,7.7,0.0009,11.0,9.85,0.00205,23.1,-3.3770727236363633,0.0,11.934,0.10666666666666667,4.6,4.6,7.7,9.85,856.2,252.65,57.8,9.2,2.8,2.4,416.0061666666667,25.122,46.2205,-6.458651683636364,24.048333333333336,11.76828,29.97844,16.5,8.0,6.6,2.9
2024-08-18,14:00:00,7.85,0.0009333333333333333,3.9,10.4,0.0029000000000000002,12.5,-3.2524544763636363,0.0,11.00644,0.19666666666666668,4.2,4.2,7.85,10.4,810.15,250.55,66.25,9.1,3.5,1.9,427.4486666666666,25.943499999999997,44.037,-6.220319263636364,25.48,9.62604,25.76616,10.0,4.2,2.5,-0.3
2024-08-18,15:00:00,7.8,0.0011166666666666666,3.4,10.35,0.0031833333333333336,9.6,-1.390373169090909,0.0,14.57803,0.2033333333333333,4.9,4.9,7.8,10.35,924.45,273.7,62.9,7.0,3.3,2.0,438.4266666666666,26.4725,42.63866666666667,-2.6590887545454542,25.478333333333335,10.62388,30.86775,11.1,5.4,-1.5,-1.9
2024-08-18,16:00:00,7.55,0.0012000000000000001,5.0,7.95,0.0026833333333333336,14.1,-1.8412140545454545,0.0,12.76116,0.225,5.0,5.0,7.55,7.95,949.95,274.3,50.4,2.2,0.7,0.0,393.4116666666667,26.846833333333333,42.15083333333334,-3.5213219072727275,25.166666666666668,15.65362,36.76303,15.7,7.9,-1.6,-2.9
2024-08-18,17:00:00,7.933333333333334,0.0015166666666666666,11.2,9.333333333333334,0.00365,20.6,-2.717100338181818,0.0,15.01313,0.125,5.133333333333334,5.133333333333334,7.933333333333334,9.333333333333334,903.15,262.6,53.6,6.7,1.8,1.8,385.59616666666665,26.647499999999997,42.93533333333333,-5.1964544709090905,25.383333333333333,9.08034,28.93613,18.1,10.7,2.5,0.5
2024-08-18,18:00:00,6.75,0.0017000000000000001,15.0,7.7,0.00395,25.3,-3.4737703036363636,0.0002,18.04922,0.09,4.2,4.2,6.75,7.7,845.25,247.3,50.6,3.7,1.2,1.2,405.4133333333333,26.273000000000003,44.354166666666664,-6.643585754545454,26.438333333333333,16.32092,43.07428,22.0,15.5,3.3,-0.4
2024-08-18,19:00:00,6.4,0.0018166666666666667,14.3,9.7,0.0037,24.7,-5.703394914545455,5e-05,17.63803,0.09166666666666666,3.8,3.8,6.4,9.7,801.9,236.8,52.2,7.1,4.4,3.4,420.88366666666667,25.7985,44.9465,-10.90774289818182,23.58,13.61116,38.50819,20.8,13.6,3.9,0.7
2024-08-18,20:00:00,7.470588235294118,0.0018000000000000002,15.6,9.235294117647058,0.00375,32.3,-4.06824200625,9.523809523809524e-05,19.69397,0.08947368421052632,3.6470588235294117,3.6470588235294117,7.470588235294118,9.235294117647058,812.2941176470588,233.11764705882354,60.94117647058823,6.705882352941177,2.1176470588235294,2.1176470588235294,415.99529411764706,25.32,45.38823529411765,-7.78051286875,22.326315789473682,8.19788,32.26388,25.4,16.3,7.0,-0.7
2024-08-19,10:00:00,15.83673469387755,0.0018392857142857145,10.8,18.040816326530614,0.004625,21.1,0.18536299545454546,0.000125,25.88091,0.05199999999999999,9.285714285714286,9.285714285714286,15.83673469387755,18.040816326530614,1641.6122448979593,487.81632653061223,131.9591836734694,9.591836734693878,3.020408163265306,1.8775510204081634,454.49612244897963,23.782448979591834,51.079795918367346,0.35450672727272725,21.191999999999997,18.48187,54.21938,17.7,10.2,3.4,0.6
2024-08-19,11:00:00,18.338983050847457,0.0021333333333333334,14.8,21.966101694915253,0.005,26.1,1.4620077454545455,0.0,21.97463,0.075,9.23728813559322,9.23728813559322,18.338983050847457,21.966101694915253,1647.2033898305085,491.40677966101697,140.96610169491527,24.203389830508474,4.508474576271187,1.4576271186440677,433.4722033898305,24.24864406779661,49.942033898305084,2.7960898327272723,22.195,19.79465,52.326,21.4,13.1,4.6,1.8
2024-08-19,12:00:00,24.71153846153846,0.0024333333333333334,15.8,28.423076923076923,0.005966666666666666,28.0,1.2928946654545457,0.00016666666666666666,19.66528,0.075,12.173076923076923,12.173076923076923,24.71153846153846,28.423076923076923,2186.8846153846152,658.0,194.8846153846154,28.615384615384617,5.0,3.6923076923076925,445.3275,25.1675,49.08173076923077,2.4726610236363635,23.16,16.73565,45.32625,24.5,15.6,3.5,0.2
2024-08-19,13:00:00,27.033333333333335,0.002916666666666667,14.0,30.35,0.006116666666666667,26.4,4.0272571836363635,0.00043333333333333337,14.77406,0.14333333333333334,13.533333333333333,13.533333333333333,26.933333333333334,30.35,2300.9,700.3,199.91666666666666,33.31666666666667,4.1,4.1,424.68766666666664,25.261166666666668,49.0285,7.702129640000001,23.81833333333333,13.80138,35.93588,21.8,13.0,4.6,0.9
